BusinessEntityID,TotalPurchaseYTD,DateFirstPurchase,BirthDate,MaritalStatus,YearlyIncome,Gender,TotalChildren,NumberChildrenAtHome,Education,Occupation,HomeOwnerFlag,NumberCarsOwned
7,0.0,,,,,,,,,,,
8,0.0,,,,,,,,,,,
21,0.0,,,,,,,,,,,
22,0.0,,,,,,,,,,,
25,0.0,,,,,,,,,,,
39,0.0,,,,,,,,,,,
40,0.0,,,,,,,,,,,
57,0.0,,,,,,,,,,,
58,0.0,,,,,,,,,,,
72,0.0,,,,,,,,,,,
75,0.0,,,,,,,,,,,
89,0.0,,,,,,,,,,,
90,0.0,,,,,,,,,,,
107,0.0,,,,,,,,,,,
108,0.0,,,,,,,,,,,
122,0.0,,,,,,,,,,,
125,0.0,,,,,,,,,,,
139,0.0,,,,,,,,,,,
140,0.0,,,,,,,,,,,
157,0.0,,,,,,,,,,,
158,0.0,,,,,,,,,,,
172,0.0,,,,,,,,,,,
175,0.0,,,,,,,,,,,
189,0.0,,,,,,,,,,,
190,0.0,,,,,,,,,,,
207,0.0,,,,,,,,,,,
208,0.0,,,,,,,,,,,
222,0.0,,,,,,,,,,,
225,0.0,,,,,,,,,,,
239,0.0,,,,,,,,,,,
240,0.0,,,,,,,,,,,
257,0.0,,,,,,,,,,,
258,0.0,,,,,,,,,,,
272,0.0,,,,,,,,,,,
275,0.0,,,,,,,,,,,
289,0.0,,,,,,,,,,,
290,0.0,,,,,,,,,,,
307,-23834.7669,,,,,,,,,,,
325,-2658.129,,,,,,,,,,,
339,-8910.7562,,,,,,,,,,,
357,-3779.6798,,,,,,,,,,,
375,-4240.1304,,,,,,,,,,,
389,-4971.4072,,,,,,,,,,,
407,-2007.09,,,,,,,,,,,
425,0.0,,,,,,,,,,,
439,-20839.3703,,,,,,,,,,,
457,0.0,,,,,,,,,,,
475,-16463.544,,,,,,,,,,,
489,-218.85,,,,,,,,,,,
493,-9128.7368,,,,,,,,,,,
507,-738.09,,,,,,,,,,,
525,-2380.26,,,,,,,,,,,
539,-8177.3631,,,,,,,,,,,
543,-10862.0876,,,,,,,,,,,
557,-652.937,,,,,,,,,,,
575,0.0,,,,,,,,,,,
593,0.0,,,,,,,,,,,
607,-10060.0858,,,,,,,,,,,
625,-11928.228,,,,,,,,,,,
643,-955.104,,,,,,,,,,,
657,-6513.8842,,,,,,,,,,,
675,-490.446,,,,,,,,,,,
693,-2566.6891,,,,,,,,,,,
707,-3200.418,,,,,,,,,,,
725,-1145.8902,,,,,,,,,,,
743,-3246.9766,,,,,,,,,,,
757,-1221.036,,,,,,,,,,,
775,-10554.6266,,,,,,,,,,,
793,-6321.0063,,,,,,,,,,,
807,-7275.1536,,,,,,,,,,,
825,-4621.7156,,,,,,,,,,,
843,-8329.6964,,,,,,,,,,,
857,-10584.318,,,,,,,,,,,
875,-753.8058,,,,,,,,,,,
893,-2860.884,,,,,,,,,,,
907,-8681.7192,,,,,,,,,,,
925,-13299.9608,,,,,,,,,,,
943,-8760.882,,,,,,,,,,,
957,-13468.0398,,,,,,,,,,,
975,-7930.8163,,,,,,,,,,,
993,-6652.11,,,,,,,,,,,
1007,0.0,,,,,,,,,,,
1011,-6399.5121,,,,,,,,,,,
1025,-4760.592,,,,,,,,,,,
1043,-3044.6805,,,,,,,,,,,
1061,-865.866,,,,,,,,,,,
1075,-3792.282,,,,,,,,,,,
1093,-2275.224,,,,,,,,,,,
1111,-5489.1688,,,,,,,,,,,
